iter,t,j,evidence_class,evidence_is_onehot
,244,2,0,True
,244,3,0,True
,245,0,0,True
,245,1,0,True
,245,2,0,True
,245,3,0,True
,246,0,0,True
,246,1,0,True
,246,2,0,True
,246,3,0,True
,247,0,0,True
,247,1,0,True
,247,2,0,True
,247,3,0,True
,248,0,0,True
,248,1,0,True
,248,2,0,True
,248,3,0,True
,249,0,0,True
,249,1,0,True
,249,2,0,True
,249,3,0,True
,250,0,0,True
,250,1,0,True
,250,2,0,True
,250,3,0,True
,251,0,0,True
,251,1,0,True
,251,2,0,True
,251,3,0,True
,252,0,0,True
,252,1,0,True
,252,2,0,True
,252,3,0,True
,253,0,0,True
,253,1,0,True
,253,2,0,True
,253,3,0,True
,254,0,0,True
,254,1,0,True
,254,2,0,True
,254,3,0,True
,255,0,0,True
,255,1,0,True
,255,2,0,True
,255,3,0,True
,256,0,0,True
,256,1,0,True
,256,2,0,True
,256,3,0,True
,257,0,0,True
,257,1,0,True
,257,2,0,True
,257,3,0,True
,258,0,0,True
,258,1,0,True
,258,2,0,True
,258,3,0,True
,259,0,0,True
,259,1,0,True
,259,2,0,True
,259,3,0,True
,260,0,0,True
,260,1,0,True
,260,2,0,True
,260,3,0,True
,261,0,0,True
,261,1,0,True
,261,2,0,True
,261,3,0,True
,262,0,0,True
,262,1,0,True
,262,2,0,True
,262,3,0,True
,263,0,0,True
,263,1,0,True
,263,2,0,True
,263,3,0,True
,264,0,0,True
,264,1,0,True
,264,2,0,True
,264,3,0,True
,265,0,0,True
,265,1,0,True
,265,2,0,True
,265,3,0,True
,266,0,0,True
,266,1,0,True
,266,2,0,True
,266,3,0,True
,267,0,0,True
,267,1,0,True
,267,2,0,True
,267,3,0,True
,268,0,0,True
,268,1,0,True
,268,2,0,True
,268,3,0,True
,269,0,0,True
,269,1,0,True
,269,2,0,True
,269,3,0,True
,270,0,0,True
,270,1,0,True
,270,2,0,True
,270,3,0,True
,271,0,0,True
,271,1,0,True
,271,2,0,True
,271,3,0,True
,272,0,0,True
,272,1,0,True
,272,2,0,True
,272,3,0,True
,273,0,0,True
,273,1,0,True
,273,2,0,True
,273,3,0,True
,274,0,0,True
,274,1,0,True
,274,2,0,True
,274,3,0,True
,275,0,0,True
,275,1,0,True
,275,2,0,True
,275,3,0,True
,276,0,0,True
,276,1,0,True
,276,2,0,True
,276,3,0,True
,277,0,0,True
,277,1,0,True
,277,2,0,True
,277,3,0,True
,278,0,0,True
,278,1,0,True
,278,2,0,True
,278,3,0,True
,279,0,0,True
,279,1,0,True
,279,2,0,True
,279,3,0,True
,280,0,0,True
,280,1,0,True
,280,2,0,True
,280,3,0,True
,281,0,0,True
,281,1,0,True
,281,2,0,True
,281,3,5,True
,282,0,0,True
,282,1,0,True
,282,2,0,True
,282,3,0,True
,283,0,0,True
,283,1,0,True
,283,2,0,True
,283,3,0,True
,284,0,0,True
,284,1,0,True
,284,2,0,True
,284,3,0,True
,285,0,0,True
,285,1,0,True
,285,2,0,True
,285,3,0,True
,286,0,0,True
,286,1,0,True
,286,2,0,True
,286,3,0,True
,287,0,0,True
,287,1,0,True
,287,2,0,True
,287,3,5,True
,288,0,0,True
,288,1,0,True
,288,2,0,True
,288,3,0,True
,289,0,0,True
,289,1,0,True
,289,2,0,True
,289,3,0,True
,290,0,0,True
,290,1,0,True
,290,2,0,True
,290,3,0,True
,291,0,0,True
,291,1,0,True
,291,2,0,True
,291,3,3,True
,292,0,0,True
,292,1,0,True
,292,2,0,True
,292,3,0,True
,293,0,0,True
,293,1,0,True
,293,2,0,True
,293,3,2,True
,294,0,0,True
,294,1,0,True
,294,2,0,True
,294,3,0,True
,295,0,0,True
,295,1,0,True
,295,2,0,True
,295,3,0,True
,296,0,0,True
,296,1,0,True
,296,2,0,True
,296,3,2,True
,297,0,0,True
,297,1,0,True
,297,2,0,True
,297,3,0,True
,298,0,0,True
,298,1,0,True
,298,2,0,True
,298,3,2,True
,299,0,0,True
,299,1,0,True
,299,2,0,True
,299,3,0,True
,300,0,0,True
,300,1,0,True
